titre;realisateur;date_debut_evenement;date_fin_evenement;cadre;lieu;adresse;arrondissement;adresse_complete;geo_coordinates
LE GRAND APPARTEMENT;PASCAL THOMAS;2002-09-24;2002-09-24;EXTERIEUR;RUE;DU FAUBOURG ST-HONORE;75008;RUE DU FAUBOURG ST-HONORE 75008 Paris France;48.872845, 2.310735
BLIND DATE;HAIM BOUZAGLO;2002-06-10;2002-06-10;EXTERIEUR;AVENUE;DE WAGRAM;75017;AVENUE DE WAGRAM 75017 Paris France;48.880704, 2.30008
BLIND DATE;HAIM BOUZAGLO;2002-04-10;2002-04-10;EXTERIEUR;AVENUE;MARCEAU;75008;AVENUE MARCEAU   75008 Paris France;48.86914, 2.298741
BLIND DATE;HAIM BOUZAGLO;2002-03-10;2002-03-10;EXTERIEUR;AVENUE;NIEL;75017;AVENUE NIEL 75017 Paris France;48.881547, 2.295707
BLIND DATE;HAIM BOUZAGLO;2002-01-10;2002-01-10;EXTERIEUR;AVENUE;FOCH;75016;AVENUE FOCH   75016 Paris France;48.872126, 2.285236
BLIND DATE;HAIM BOUZAGLO;2002-06-10;2002-06-10;EXTERIEUR;PLACE;DES TERNES;75017;PLACE DES TERNES 75017 Paris France;48.877819, 2.298048
BLIND DATE;HAIM BOUZAGLO;2002-06-10;2002-06-10;EXTERIEUR;PONT;DES ARTS;75006;PONT DES ARTS 75006 Paris France;48.858795, 2.337747
BLIND DATE;HAIM BOUZAGLO;2002-01-10;2002-01-10;EXTERIEUR;QUAI;CONTI;75006;QUAI CONTI 75006 Paris France;48.857199, 2.338628
BLIND DATE;HAIM BOUZAGLO;2002-06-10;2002-06-10;EXTERIEUR;RUE;JACOB;75006;RUE JACOB 75006 Paris France;48.855349, 2.334397
APRES VOUS;PIERRE SALVADORI;2002-11-25;2002-11-25;EXTERIEUR;RUE;DE CHARENTON/R HERARD (ANGLE);75012;RUE DE CHARENTON/R HERARD (ANGLE) 75012 Paris France;48.840808, 2.388183
HISTOIRE DE MARIE ET JULIEN;JACQUES RIVETTE;2002-11-27;2002-11-27;EXTERIEUR;RUE;BIGNON;75012;RUE BIGNON 75012 Paris France;48.840629, 2.388489
7 ANS DE MARIAGE....;DIDIER BOURDON;2002-10-12;2002-10-12;EXTERIEUR;BOULEVARD;DIDEROT ET JEAN BOUTON/ANGLE;75012;BOULEVARD DIDEROT ET JEAN BOUTON/ANGLE 75012 Paris France;48.840808, 2.388183
TIRESIA;BERTRAND BONELLO;2002-11-16;2002-11-16;EXTERIEUR;RUE;DE JOURDAIN;75020;RUE DE JOURDAIN 75020 Paris France;48.874447, 2.38946
TIRESIA;BERTRAND BONELLO;2002-12-14;2002-12-14;EXTERIEUR;RUE;DU CHEVALERET;75013;RUE DU CHEVALERET 75013 Paris France;48.831194, 2.374076
TIRESIA;BERTRAND BONELLO;2002-12-14;2002-12-14;EXTERIEUR;RUE;JEAN ANTOINE DE BAIF;75013;RUE JEAN ANTOINE DE BAIF 75013 Paris France;48.827445, 2.383456
FRANCE BOUTIQUE;TONIE MARSHALL;2002-10-28;2002-10-28;EXTERIEUR;PLACE;VENDOME;75001;PLACE VENDOME 75001 Paris France;48.867447, 2.329434
FRANCE BOUTIQUE;TONIE MARSHALL;2002-10-28;2002-10-28;EXTERIEUR;VOIE;SUR BERGE GEORGES POMPIDOU;75001;VOIE SUR BERGE GEORGES POMPIDOU 75001 Paris France;48.86, 2.341111
LA DECOUVERTE DU MONDE;IVAN TAIEB;2002-09-11;2002-09-11;EXTERIEUR;RUE;DE LA BUTTE AUX CAILLES;75013;RUE DE LA BUTTE AUX CAILLES   75013 Paris France;48.827714, 2.349874
LE FUGITIF;ANDREA MANNI;2002-11-21;2002-11-21;EXTERIEUR;RUE;DE LA VOUTE;75012;RUE DE LA VOUTE 75012 Paris France;48.846069, 2.407902
LE FUGITIF;ANDREA MANNI;2002-11-28;2002-11-28;EXTERIEUR;SQUARE;RENE VIVIANI;75005;SQUARE RENE VIVIANI 75005 Paris France;48.852225, 2.347816
LE ROLE DE SA VIE;FRANCOIS FAVRAT;2003-03-13;2003-03-13;EXTERIEUR;AVENUE;RAPP;75007;AVENUE RAPP   75007 Paris France;48.860348, 2.300831
LE ROLE DE SA VIE;FRANCOIS FAVRAT;2003-11-03;2003-11-03;EXTERIEUR;RUE;ETIENNE MARCEL;75002;RUE ETIENNE MARCEL   75002 Paris France;48.864803, 2.345118
NATHALIE X...;ANNE FONTAINE;2003-10-03;2003-10-03;EXTERIEUR;QUAI;DE VALMY;75010;QUAI DE VALMY 75010 Paris France;48.876123, 2.364043
NATHALIE X...;ANNE FONTAINE;2003-01-22;2003-01-22;EXTERIEUR;RUE;CHARLES V;75004;RUE CHARLES V 75004 Paris France;48.852653, 2.363327
NATHALIE X...;ANNE FONTAINE;2003-01-28;2003-01-28;EXTERIEUR;RUE;TRONCHET;75008;RUE TRONCHET 75008 Paris France;48.872445, 2.326256
NATHALIE X...;ANNE FONTAINE;2003-10-03;2003-10-03;EXTERIEUR;RUE;JEAN POULMARCH;75010;RUE JEAN POULMARCH 75010 Paris France;48.872434, 2.363502
LE TUEUR SANS GAGES;JEAN PIERRE MOCKY;2003-03-01;2003-03-01;EXTERIEUR;QUAI;DE LA MARNE;75019;QUAI DE LA MARNE 75019 Paris France;48.889903, 2.383087
LE TUEUR SANS GAGES;JEAN PIERRE MOCKY;2003-03-01;2003-03-01;EXTERIEUR;QUAI;DE METZ;75019;QUAI DE METZ 75019 Paris France;48.891063, 2.386601
SUPER RIPOUX;CLAUDE ZIDI;2003-01-22;2003-01-22;EXTERIEUR;BERGES;DU PORT;75012;BERGES DU PORT 75012 Paris France;48.840808, 2.388183
JE RESTE;DIANE KURYS;2003-02-21;2003-02-21;EXTERIEUR;AVENUE;VAN DICK;75008;AVENUE VAN DICK   75008 Paris France;48.878411, 2.30616
JE RESTE;DIANE KURYS;2003-05-03;2003-05-03;EXTERIEUR;AVENUE;VAN DICK;75008;AVENUE VAN DICK   75008 Paris France;48.878411, 2.30616
JE RESTE;DIANE KURYS;2003-03-02;2003-03-02;EXTERIEUR;RUE;JEAN GOUJON;75008;RUE JEAN GOUJON   75008 Paris France;48.865844, 2.306436
COMME UN SEUL HOMME;LIONEL ABEILLON;2003-01-31;2003-01-31;EXTERIEUR;RUE;WATT (SOUS LE PONT);75013;RUE WATT (SOUS LE PONT) 75013 Paris France;48.827533, 2.38118
COMME UN SEUL HOMME;LIONEL ABEILLON;2003-01-31;2003-01-31;EXTERIEUR;RUE;JEAN ANTOINE DE BAIF;75013;RUE JEAN ANTOINE DE BAIF 75013 Paris France;48.827445, 2.383456
COMME UN SEUL HOMME;LIONEL ABEILLON;2003-05-10;2003-05-10;EXTERIEUR;RUE;JEAN ANTOINE DE BAIF;75013;RUE JEAN ANTOINE DE BAIF 75013 Paris France;48.827445, 2.383456
VICE ET VERSA;PATRICK BOUCHITEY;2003-04-16;2003-04-16;EXTERIEUR;MARCHE;LECOURBE;75015;MARCHE LECOURBE 75015 Paris France;48.841328, 2.300292
WILD SIDE;SEBASTIEN LIFSHITZ;2003-01-04;2003-01-04;EXTERIEUR;AVENUE;DE FLANDRES;75019;AVENUE DE FLANDRES   75019 Paris France;48.887406, 2.373106
WILD SIDE;SEBASTIEN LIFSHITZ;2003-02-17;2003-02-17;EXTERIEUR;AVENUE;DE FLANDRES;75019;AVENUE DE FLANDRES 75019 Paris France;48.887406, 2.373106
WILD SIDE;SEBASTIEN LIFSHITZ;2003-02-23;2003-02-23;EXTERIEUR;BOULEVARD;POISSONNIERE;75009;BOULEVARD POISSONNIERE 75009 Paris France;48.871047, 2.345704
WILD SIDE;SEBASTIEN LIFSHITZ;2003-02-23;2003-02-23;EXTERIEUR;BOULEVARD;BONNE NOUVELLE;75010;BOULEVARD BONNE NOUVELLE 75010 Paris France;48.870226, 2.350095
WILD SIDE;SEBASTIEN LIFSHITZ;2003-02-23;2003-02-23;EXTERIEUR;BOULEVARD;SAINT DENIS;75010;BOULEVARD SAINT DENIS 75010 Paris France;48.86932, 2.354243
WILD SIDE;SEBASTIEN LIFSHITZ;2003-01-26;2003-01-26;EXTERIEUR;BOULEVARD;SAINT DENIS;75010;BOULEVARD SAINT DENIS 75010 Paris France;48.86932, 2.354243
WILD SIDE;SEBASTIEN LIFSHITZ;2003-10-02;2003-10-02;EXTERIEUR;PLACE;CLICHY;75018;PLACE CLICHY 75018 Paris France;48.883588, 2.327195
WILD SIDE;SEBASTIEN LIFSHITZ;2003-03-27;2003-03-27;EXTERIEUR;RUE;SAINT-SEVERIN;75005;RUE SAINT-SEVERIN 75005 Paris France;48.852467, 2.345097
WILD SIDE;SEBASTIEN LIFSHITZ;2003-02-19;2003-02-19;EXTERIEUR;RUE;DE MEAUX/AV LAUMIERE (PLACETTE);75019;RUE DE MEAUX/AV LAUMIERE (PLACETTE) 75019 Paris France;48.88235, 2.381822
5 X 2;FRANCOIS OZON;2003-05-09;2003-05-09;EXTERIEUR;AVENUE;TRUDAINE;75009;AVENUE TRUDAINE 75009 Paris France;48.881317, 2.343498
HEAD IN THE CLOUDS/NOUS ETIONS LIBRES;JOHN DUIGAN;2003-05-29;2003-05-29;EXTERIEUR;AVENUE;DE MESSINE;75008;AVENUE DE MESSINE   75008 Paris France;48.876521, 2.31272
HEAD IN THE CLOUDS/NOUS ETIONS LIBRES;JOHN DUIGAN;2003-05-26;2003-05-26;EXTERIEUR;PASSAGE;DE BEAUJOLAIS;75001;PASSAGE DE BEAUJOLAIS 75001 Paris France;48.866378, 2.337462
HEAD IN THE CLOUDS/NOUS ETIONS LIBRES;JOHN DUIGAN;2003-05-26;2003-05-26;EXTERIEUR;RUE;DE MONTPENSIER;75001;RUE DE MONTPENSIER 75001 Paris France;48.86501, 2.336908
L'INCRUSTE;CASTAGNETTI/JULIUS;2003-06-08;2003-06-08;EXTERIEUR;BOULEVARD;DE LA VILLETTE;75010;BOULEVARD DE LA VILLETTE   75010 Paris France;48.878444, 2.370099
L'INCRUSTE;CASTAGNETTI/JULIUS;2003-06-14;2003-06-14;EXTERIEUR;BOULEVARD;EMILE AUGIER;75016;BOULEVARD EMILE AUGIER 75016 Paris France;48.860262, 2.274047
L'INCRUSTE;CASTAGNETTI/JULIUS;2003-04-08;2003-04-08;EXTERIEUR;RUE;EMILE BLEMONT;75018;RUE EMILE BLEMONT 75018 Paris France;48.894614, 2.341627
L'INCRUSTE;CASTAGNETTI/JULIUS;2003-08-08;2003-08-08;EXTERIEUR;RUE;CHAMPIONNET;75018;RUE CHAMPIONNET 75018 Paris France;48.895755, 2.340164
L'INCRUSTE;CASTAGNETTI/JULIUS;2003-04-08;2003-04-08;EXTERIEUR;RUE;CHAMPIONNET;75018;RUE CHAMPIONNET 75018 Paris France;48.895755, 2.340164
L'INCRUSTE;CASTAGNETTI/JULIUS;2003-07-24;2003-07-24;EXTERIEUR;RUE;DU DOCTEUR FINLAY;75015;RUE DU DOCTEUR FINLAY 75015 Paris France;48.851878, 2.289389
L'INCRUSTE;CASTAGNETTI/JULIUS;2003-06-14;2003-06-14;EXTERIEUR;RUE;VERDI;75016;RUE VERDI 75016 Paris France;48.86071, 2.273582
L'INCRUSTE;CASTAGNETTI/JULIUS;2003-08-08;2003-08-08;EXTERIEUR;RUE;DU RUISSEAU;75018;RUE DU RUISSEAU 75018 Paris France;48.894541, 2.340643
POIDS LEGER;JEAN PIERRE AMERIS;2003-07-24;2003-07-24;EXTERIEUR;AVENUE;D'ITALIE;75013;AVENUE D'ITALIE 75013 Paris France;48.825117, 2.357519
POIDS LEGER;JEAN PIERRE AMERIS;2003-07-24;2003-07-24;EXTERIEUR;AVENUE;DE CHOISY;75013;AVENUE DE CHOISY 75013 Paris France;48.825511, 2.360435
POIDS LEGER;JEAN PIERRE AMERIS;2003-07-24;2003-07-24;EXTERIEUR;BOULEVARD;DE L'HOPITAL;75013;BOULEVARD DE L'HOPITAL 75013 Paris France;48.837789, 2.360192
POIDS LEGER;JEAN PIERRE AMERIS;2003-07-24;2003-07-24;EXTERIEUR;PLACE;D'ITALIE;75013;PLACE D'ITALIE 75013 Paris France;48.831058, 2.355888
POIDS LEGER;JEAN PIERRE AMERIS;2003-06-20;2003-06-20;EXTERIEUR;RUE;DU FG SAINT DENIS;75010;RUE DU FG SAINT DENIS 75010 Paris France;48.8794, 2.356989
POIDS LEGER;JEAN PIERRE AMERIS;2003-07-24;2003-07-24;EXTERIEUR;RUE;DE TOLBIAC;75013;RUE DE TOLBIAC 75013 Paris France;48.826153, 2.359258
SAN ANTONIO;FREDERIC AUBERTUN;2003-08-16;2003-08-16;EXTERIEUR;AVENUE;DE SUFFREN;75007;AVENUE DE SUFFREN 75007 Paris France;48.851551, 2.300291
SAN ANTONIO;FREDERIC AUBERTUN;2003-08-18;2003-08-18;EXTERIEUR;AVENUE;DE SEGUR;75007;AVENUE DE SEGUR 75007 Paris France;48.850532, 2.308816
SAN ANTONIO;FREDERIC AUBERTUN;2003-08-22;2003-08-22;EXTERIEUR;RUE;BOSSUET;75010;RUE BOSSUET 75010 Paris France;48.878601, 2.352245
SAN ANTONIO;FREDERIC AUBERTUN;2003-10-15;2003-10-15;EXTERIEUR;RUE;DU ROCHER;75008;RUE DU ROCHER 75008 Paris France;48.878133, 2.320013
L'ECLAIREUR;DJIBRIL GLISSANT;2003-07-21;2003-07-21;EXTERIEUR;BERGES;DU QUAI SAINT DENIS;93000;BERGES DU QUAI SAINT DENIS 93000 Paris France;48.893922, 2.411347
UN LONG DIMANCHE DE FIANCAILLES;JEAN PIERRE JEUNET;2003-08-26;2003-08-26;EXTERIEUR;ESPLANADE;DE LA TOUR EIFFEL;75007;ESPLANADE DE LA TOUR EIFFEL 75007 Paris France;48.858079, 2.310001
UN LONG DIMANCHE DE FIANCAILLES;JEAN PIERRE JEUNET;2003-11-17;2003-11-17;EXTERIEUR;PONT;ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
UN LONG DIMANCHE DE FIANCAILLES;JEAN PIERRE JEUNET;2003-06-08;2003-06-08;EXTERIEUR;PORT;DES CHAMPS ELYSEES;75008;PORT DES CHAMPS ELYSEES 75008 Paris France;48.864421, 2.3145
UN LONG DIMANCHE DE FIANCAILLES;JEAN PIERRE JEUNET;2003-11-17;2003-11-17;EXTERIEUR;PORT;DES CHAMPS ELYSEES;75008;PORT DES CHAMPS ELYSEES 75008 Paris France;48.864421, 2.3145
ONE DOLLAR CURRY;VIJAY SINGH;2003-07-29;2003-07-29;EXTERIEUR;RUE;DU CHATEAU D'EAU;75010;RUE DU CHATEAU D'EAU 75010 Paris France;48.870937, 2.358799
DOO WOP;DAVID LANZMAN;2003-05-09;2003-05-09;EXTERIEUR;AVENUE;DENFERT ROCHEREAU;75014;AVENUE DENFERT ROCHEREAU 75014 Paris France;48.836493, 2.334504
DOO WOP;DAVID LANZMAN;2003-03-09;2003-03-09;EXTERIEUR;AVENUE;DE SUFFREN;75007;AVENUE DE SUFFREN 75007 Paris France;48.851551, 2.300291
DOO WOP;DAVID LANZMAN;2003-07-29;2003-07-29;EXTERIEUR;MARCHE;AUX PUCES;93000;MARCHE AUX PUCES 93000 Paris France;48.856614, 2.352222
DOO WOP;DAVID LANZMAN;2003-08-13;2003-08-13;EXTERIEUR;QUAI;DE JEMMAPES;75010;QUAI DE JEMMAPES   75010 Paris France;48.876681, 2.365244
DOO WOP;DAVID LANZMAN;2003-08-23;2003-08-23;EXTERIEUR;RUE;DE BRETAGNE;75003;RUE DE BRETAGNE 75003 Paris France;48.863247, 2.361856
DOO WOP;DAVID LANZMAN;2003-08-25;2003-08-25;EXTERIEUR;RUE;DU FAUBOURG DU TEMPLE;75011;RUE DU FAUBOURG DU TEMPLE   75011 Paris France;48.870763, 2.373493
MARIAGE MIXTE;ALEXANDRE ARCADY;2003-05-08;2003-05-08;EXTERIEUR;PLACE;DE LA REPUBLIQUE;75010;PLACE DE LA REPUBLIQUE 75010 Paris France;48.86803, 2.363761
ARSENE LUPIN;JEAN PAUL SALOME;2003-08-15;2003-08-15;EXTERIEUR;PONT;SAINT LOUIS;75004;PONT SAINT LOUIS 75004 Paris France;48.852745, 2.352713
ARSENE LUPIN;JEAN PAUL SALOME;2003-08-15;2003-08-15;EXTERIEUR;RUE;SCRIBE;75009;RUE SCRIBE 75009 Paris France;48.871656, 2.330536
ARSENE LUPIN;JEAN PAUL SALOME;2003-10-10;2003-10-10;EXTERIEUR;SQUARE;DE L'ILE DE FRANCE;75004;SQUARE DE L'ILE DE FRANCE 75004 Paris France;48.855918, 2.398632
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;2003-08-08;2003-08-08;EXTERIEUR;AVENUE;DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;2003-07-08;2003-07-08;EXTERIEUR;PASSERELLE;DES ARTS;75001;PASSERELLE DES ARTS 75001 Paris France;48.858795, 2.337747
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;2003-01-09;2003-01-09;EXTERIEUR;PASSERELLE;DES ARTS;75001;PASSERELLE DES ARTS 75001 Paris France;48.858795, 2.337747
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;2003-07-08;2003-07-08;EXTERIEUR;PLACE;DES PYRAMIDES;75001;PLACE DES PYRAMIDES 75001 Paris France;48.863996, 2.332281
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;2003-01-09;2003-01-09;EXTERIEUR;PLACE;CHARLES DE GAULLE ETOILE;75008;PLACE CHARLES DE GAULLE ETOILE 75008 Paris France;48.873934, 2.2949
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;2003-08-27;2003-08-27;EXTERIEUR;PONT;DU CARROUSEL;75001;PONT DU CARROUSEL 75001 Paris France;48.859391, 2.332942
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;2003-08-08;2003-08-08;EXTERIEUR;PONT;DE L'ALMA;75008;PONT DE L'ALMA 75008 Paris France;48.863557, 2.3017
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;2003-01-09;2003-01-09;EXTERIEUR;PONT;ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
LA CONFIANCE REGNE;ETIENNE CHATILIEZ;2003-08-27;2003-08-27;EXTERIEUR;RUE;ALBERT 1ER DE MONACO;75016;RUE ALBERT 1ER DE MONACO 75016 Paris France;48.861649, 2.289984
UN AUTRE QUE MOI;LAURENT TIRARD;2003-09-23;2003-09-23;EXTERIEUR;AVENUE;DE MESSINE;75008;AVENUE DE MESSINE   75008 Paris France;48.876521, 2.31272
UN AUTRE QUE MOI;LAURENT TIRARD;2003-01-10;2003-01-10;EXTERIEUR;RUE;DES ARENES;75005;RUE DES ARENES 75005 Paris France;48.845032, 2.353983
UN AUTRE QUE MOI;LAURENT TIRARD;2003-08-26;2003-08-26;EXTERIEUR;RUE;DE BAZEILLES;75005;RUE DE BAZEILLES   75005 Paris France;48.838684, 2.350562
UN AUTRE QUE MOI;LAURENT TIRARD;2003-08-18;2003-08-18;EXTERIEUR;RUE;VIVIENNE;75002;RUE VIVIENNE 75002 Paris France;48.868907, 2.340088
QUI PERD GAGNE;LAURENT BENEGUI;2003-08-18;2003-08-18;EXTERIEUR;PLACE;PAUL PAINLEVE;75005;PLACE PAUL PAINLEVE 75005 Paris France;48.85026, 2.344038
QUI PERD GAGNE;LAURENT BENEGUI;2003-08-20;2003-08-20;EXTERIEUR;PLACE;PAUL PAINLEVE;75005;PLACE PAUL PAINLEVE 75005 Paris France;48.85026, 2.344038
LES 11 COMMANDEMENTS;FRANCOIS DESAGNAT;2003-09-15;2003-09-15;EXTERIEUR;PONT;DES ARTS;75001;PONT DES ARTS 75001 Paris France;48.858795, 2.337747
LE SYNDROME DE PETER PAN;A. VIARD;2003-08-13;2003-08-13;EXTERIEUR;PLACE;RAOUL DAUTRY;75015;PLACE RAOUL DAUTRY 75015 Paris France;48.841729, 2.320515
NE LE DIS A PERSONNE;GUILLAUME CANET;2005-09-13;2005-09-13;EXTERIEUR;RUE;DU PONT NEUF;75001;RUE DU PONT NEUF 75001 Paris France;48.859957, 2.34402
INCONTROLABLE;RAFFY SHART;2005-11-07;2005-11-07;EXTERIEUR;PLACE;REPUBLIQUE DOMINICAINE;75008;PLACE REPUBLIQUE DOMINICAINE 75008 Paris France;48.880451, 2.309134
INCONTROLABLE;RAFFY SHART;2005-07-28;2005-07-28;EXTERIEUR;QUAI;DES GRANDS AUGUSTINS;75006;QUAI DES GRANDS AUGUSTINS 75006 Paris France;48.854679, 2.342401
INCONTROLABLE;RAFFY SHART;2005-07-20;2005-07-20;EXTERIEUR;RUE;DE CASTIGLIONE;75001;RUE DE CASTIGLIONE 75001 Paris France;48.86593, 2.327898
A L'ARRACHE;KIM MASSEE;2005-07-20;2005-07-20;EXTERIEUR;PLACE;BAUDOYER;75004;PLACE BAUDOYER 75004 Paris France;48.856155, 2.355389
A L'ARRACHE;KIM MASSEE;2005-07-21;2005-07-21;EXTERIEUR;RUE;D'AUBERVILLIERS;75019;RUE D'AUBERVILLIERS 75019 Paris France;48.892031, 2.369161
JARDINS EN AUTOMNE;OTAR IOSSELIANI;2005-08-30;2005-08-30;EXTERIEUR;AVENUE;FOCH (ARRET DU BUS);75016;AVENUE FOCH (ARRET DU BUS) 75016 Paris France;48.853093, 2.248763
JARDINS EN AUTOMNE;OTAR IOSSELIANI;2005-03-08;2005-05-08;EXTERIEUR;CITE;CONDORCET;75009;CITE CONDORCET 75009 Paris France;48.879587, 2.344596
JARDINS EN AUTOMNE;OTAR IOSSELIANI;2005-11-08;2005-11-08;EXTERIEUR;PLACE;DU 11 NOVEMBRE;75016;PLACE DU 11 NOVEMBRE 75016 Paris France;48.862318, 2.287561
JARDINS EN AUTOMNE;OTAR IOSSELIANI;2005-01-08;2005-02-08;EXTERIEUR;RUE;DE PICARDIE;75003;RUE DE PICARDIE 75003 Paris France;48.863829, 2.362811
JARDINS EN AUTOMNE;OTAR IOSSELIANI;2005-01-08;2005-02-08;EXTERIEUR;RUE;DUPETIT THOUARS;75003;RUE DUPETIT THOUARS 75003 Paris France;48.865295, 2.362033
CABARET PARADIS;C. ET G BENNIZIO;2005-07-22;2005-07-22;EXTERIEUR;BOULEVARD;DE CLICHY;75018;BOULEVARD DE CLICHY 75018 Paris France;48.883617, 2.333584
ON VA S'AIMER;IVAN CALBERAC;2005-09-09;2005-09-09;EXTERIEUR;AVENUE;THEODORE ROUSSEAU;75016;AVENUE THEODORE ROUSSEAU 75016 Paris France;48.854188, 2.270424
ON VA S'AIMER;IVAN CALBERAC;2005-08-19;2005-08-19;EXTERIEUR;AVENUE;DAUMESNIL;75012;AVENUE DAUMESNIL 75012 Paris France;48.837878, 2.400242
ON VA S'AIMER;IVAN CALBERAC;2005-07-27;2005-07-27;EXTERIEUR;PLACE;DE L'ESTRAPADE;75005;PLACE DE L'ESTRAPADE 75005 Paris France;48.84521, 2.345157
ON VA S'AIMER;IVAN CALBERAC;2005-08-18;2005-08-18;EXTERIEUR;PONT;DES ARTS;75006;PONT DES ARTS 75006 Paris France;48.858795, 2.337747
ON VA S'AIMER;IVAN CALBERAC;2005-09-21;2005-09-21;EXTERIEUR;RUE;LHOMOND;75005;RUE LHOMOND 75005 Paris France;48.84283, 2.347075
NOUVELLE CHANCE;ANNE FONTAINE;2005-08-15;2005-08-15;EXTERIEUR;RUE;DES PYRENEES;75020;RUE DES PYRENEES 75020 Paris France;48.861363, 2.400301
NOUVELLE CHANCE;ANNE FONTAINE;2005-08-28;2005-08-28;EXTERIEUR;RUE;DES PYRENEES;75020;RUE DES PYRENEES 75020 Paris France;48.861363, 2.400301
LA MAISON DU BONHEUR;DANY BOON;2005-09-16;2005-09-16;EXTERIEUR;RUE;DU BOULOI;75001;RUE DU BOULOI 75001 Paris France;48.863667, 2.340923
LA JUNGLE;MATTHIEU DELAPORT;2005-08-25;2005-08-25;EXTERIEUR;AVENUE;DE FRANCE;75013;AVENUE DE FRANCE 75013 Paris France;48.830637, 2.376768
LA JUNGLE;MATTHIEU DELAPORT;2005-08-15;2005-08-15;EXTERIEUR;RUE;RAYNOUARD;75016;RUE RAYNOUARD 75016 Paris France;48.855293, 2.280603
LA JUNGLE;MATTHIEU DELAPORT;2005-08-26;2005-08-26;EXTERIEUR;RUE;DE MEAUX;75019;RUE DE MEAUX 75019 Paris France;48.882785, 2.375609
LA JUNGLE;MATTHIEU DELAPORT;2005-08-22;2005-08-22;EXTERIEUR;RUE;POULET/R CLIGNANCOURT (ANGLE);75018;RUE POULET/R CLIGNANCOURT (ANGLE) 75018 Paris France;48.89215, 2.344447
LA JUNGLE;MATTHIEU DELAPORT;2005-08-13;2005-08-13;EXTERIEUR;RUE;BEAUREGARD;75002;RUE BEAUREGARD 75002 Paris France;48.86929, 2.349667
LA JUNGLE;MATTHIEU DELAPORT;2005-08-18;2005-08-18;EXTERIEUR;RUE;DE NORMANDIE;75003;RUE DE NORMANDIE 75003 Paris France;48.863096, 2.364224
PRESIDENT;LIONEL DELPLANQUE;2005-09-14;2005-09-14;EXTERIEUR;AVENUE;MONTAIGNE;75008;AVENUE MONTAIGNE 75008 Paris France;48.867539, 2.307055
PRESIDENT;LIONEL DELPLANQUE;2005-10-19;2005-10-19;EXTERIEUR;RUE;DES URSINS;75004;RUE DES URSINS 75004 Paris France;48.854384, 2.351037
NOUVELLE DONNE;JOACHIM TRIER;2005-09-18;2005-09-18;EXTERIEUR;RUE;GUYNEMER;75006;RUE GUYNEMER 75006 Paris France;48.847039, 2.332463
NOUVELLE DONNE;JOACHIM TRIER;2005-09-18;2005-09-18;EXTERIEUR;RUE;SAINTE ANNE;75006;RUE SAINTE ANNE 75006 Paris France;48.866991, 2.335884
LES AMITIES MALEFIQUES;EMMANUEL BOURDIEU;2005-09-26;2005-09-26;EXTERIEUR;AVENUE;PARMENTIER;75011;AVENUE PARMENTIER 75011 Paris France;48.864882, 2.374877
LES AMITIES MALEFIQUES;EMMANUEL BOURDIEU;2005-03-10;2005-03-10;EXTERIEUR;AVENUE;DE SAXE;75007;AVENUE DE SAXE 75007 Paris France;48.848092, 2.310655
LES AMITIES MALEFIQUES;EMMANUEL BOURDIEU;2005-09-14;2005-09-14;EXTERIEUR;BOULEVARD;SAINT GERMAIN;75007;BOULEVARD SAINT GERMAIN 75007 Paris France;48.854821, 2.329193
LES AMITIES MALEFIQUES;EMMANUEL BOURDIEU;2005-08-30;2005-08-30;EXTERIEUR;PLACE;MAURICE CHEVALIER;75020;PLACE MAURICE CHEVALIER 75020 Paris France;48.864475, 2.433651
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-11-16;2005-11-16;EXTERIEUR;AVENUE;MAC MAHON;75017;AVENUE MAC MAHON 75017 Paris France;48.876498, 2.294553
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-07-20;2005-07-20;EXTERIEUR;BOULEVARD;DES ITALIENS;75002;BOULEVARD DES ITALIENS 75002 Paris France;48.871341, 2.337178
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-11-18;2005-11-18;EXTERIEUR;PONT;DES ARTS;75001;PONT DES ARTS 75001 Paris France;48.858795, 2.337747
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-05-10;2005-05-10;DOMAINE PUBLIC;PORT;DE L'ARSENAL;75012;PORT DE L'ARSENAL 75012 Paris France;48.832955, 2.382796
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-09-20;2005-09-20;EXTERIEUR;RUE;DES THERMOPYLES;75014;RUE DES THERMOPYLES 75014 Paris France;48.832844, 2.318641
