titre;realisateur;date_debut_evenement;date_fin_evenement;cadre;lieu;adresse;arrondissement;adresse_complete;geo_coordinates
AUX ARMES/TOI MOI ET LES AUTRES;AUDREY ESTROUGO;2009-10-23;2009-10-23;EXTERIEUR;BOULEVARD;DE LA MADELEINE;75009;BOULEVARD DE LA MADELEINE 75009 Paris France;48.869737, 2.326788
HEREAFTER;CLINT EASTWOOD;2009-10-20;2009-10-20;EXTERIEUR;RUE;DU PROFESSEUR DELBARRE;75015;RUE DU PROFESSEUR DELBARRE 75015 Paris France;
LES EMOTIFS ANONYMES;JEAN PIERRE AMERIS;2009-11-30;2009-11-30;EXTERIEUR;BOULEVARD;MALESHERBES;75008;BOULEVARD MALESHERBES 75008 Paris France;48.876158, 2.318287
LES EMOTIFS ANONYMES;JEAN PIERRE AMERIS;2009-11-19;2009-11-19;EXTERIEUR;RUE;DU FAUBOURG MONTMARTRE;75009;RUE DU FAUBOURG MONTMARTRE 75009 Paris France;
BRACELETS DE FER;GENIFOR JAYAKOBY;2009-11-30;2009-11-30;EXTERIEUR;PLACE;DE LA PORTE MAILLOT;75017;PLACE DE LA PORTE MAILLOT 75017 Paris France;
BRACELETS DE FER;GENIFOR JAYAKOBY;2009-11-27;2009-11-27;EXTERIEUR;RUE;AZAIS;75018;RUE AZAIS 75018 Paris France;48.886035, 2.342166
BRACELETS DE FER;GENIFOR JAYAKOBY;2009-12-19;2009-12-19;EXTERIEUR;BERGES;DE L'ILE SAINT LOUIS;75004;BERGES  DE L'ILE SAINT LOUIS 75004 Paris France;
BRACELETS DE FER;GENIFOR JAYAKOBY;2009-12-19;2009-12-19;EXTERIEUR;PARVIS;DE NOTRE DAME;75004;PARVIS  DE NOTRE DAME 75004 Paris France;
BRACELETS DE FER;GENIFOR JAYAKOBY;2009-11-25;2009-11-25;EXTERIEUR;AVENUE;DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
BRACELETS DE FER;GENIFOR JAYAKOBY;2009-12-26;2009-12-26;EXTERIEUR;RUE;DE RIVOLI;75001;RUE DE RIVOLI 75001 Paris France;48.860787, 2.341197
FLEURS DU MAL;DAVID DUSA;2009-07-11;2009-07-11;EXTERIEUR;AVENUE;WINSTON CHURCHILL;75008;AVENUE WINSTON CHURCHILL 75008 Paris France;
DRIFT AWAY;DANIEL SICARD;2009-11-26;2009-11-26;EXTERIEUR;PLACE;JEANNE D'ARC;75013;PLACE JEANNE D'ARC 75013 Paris France;48.829635, 2.368092
DRIFT AWAY;DANIEL SICARD;2009-11-23;2009-11-23;EXTERIEUR;RUE;MAURICE NOGUES;75014;RUE MAURICE NOGUES 75014 Paris France;
UNE PURE AFFAIRE/SUR DES RAILS;ALEXANDRE COFFRE;2010-01-26;2010-01-26;EXTERIEUR;AVENUE;DE POLOGNE;75016;AVENUE DE POLOGNE 75016 Paris France;
UNE PURE AFFAIRE/SUR DES RAILS;ALEXANDRE COFFRE;2010-04-19;2010-04-19;EXTERIEUR;AVENUE;DE LA PORTE D'ASNIERES;75017;AVENUE DE LA PORTE D'ASNIERES 75017 Paris France;
NO ET MOI;ZABOU BREITMAN;2010-02-22;2010-02-22;EXTERIEUR;BOULEVARD;DE CHARONNE;75020;BOULEVARD DE CHARONNE 75020 Paris France;48.85378, 2.396596
NO ET MOI;ZABOU BREITMAN;2010-01-02;2010-01-02;EXTERIEUR;RUE;DE L'ISLY;75008;RUE DE L'ISLY 75008 Paris France;
LES YEUX DE SA MERE;THIERRY KLIFA;2010-02-22;2010-02-22;EXTERIEUR;RUE;DE BRETAGNE;75003;RUE DE BRETAGNE 75003 Paris France;48.863247, 2.361856
LES YEUX DE SA MERE;THIERRY KLIFA;2010-06-03;2010-06-03;EXTERIEUR;PLACE;OLYMPE DE GOUGE;75003;PLACE OLYMPE DE GOUGE 75003 Paris France;
LES INSOMNIAQUES;JEAN PIERRE MOCKY;2010-01-23;2010-01-23;EXTERIEUR;PLACE;DE L'OPERA;75002;PLACE DE L'OPERA 75002 Paris France;48.870127, 2.332444
A BOUT PORTANT;FRED CAVAYE;2010-03-15;2010-03-15;EXTERIEUR;AVENUE;EMILE ZOLA;75015;AVENUE EMILE ZOLA 75015 Paris France;48.846552, 2.286121
A BOUT PORTANT;FRED CAVAYE;2010-03-30;2010-03-30;EXTERIEUR;RUE;DE ROME/R SAINT LAZARE;75008;RUE DE ROME/R SAINT LAZARE 75008 Paris France;
A BOUT PORTANT;FRED CAVAYE;2010-03-17;2010-03-17;EXTERIEUR;SQUARE;LUQUET ET RUE PIAT (ANGLE);75020;SQUARE  LUQUET ET RUE PIAT (ANGLE) 75020 Paris France;
A BOUT PORTANT;FRED CAVAYE;2010-03-29;2010-03-29;EXTERIEUR;RUE;MESSIER;75014;RUE MESSIER 75014 Paris France;48.833991, 2.338087
MONSIEUR PAPA;KAD MERAD;2010-04-03;2010-05-03;EXTERIEUR;DALLE;DES OLYMPIADES;75013;DALLE DES OLYMPIADES 75013 Paris France;
MONSIEUR PAPA;KAD MERAD;2010-03-15;2010-03-15;DOMAINE PUBLIC;JARDIN;DU TROCADERO;75016;JARDIN  DU TROCADERO 75016 Paris France;
MONSIEUR PAPA;KAD MERAD;2010-03-19;2010-03-19;EXTERIEUR;RUE;SAINT JACQUES;75005;RUE SAINT JACQUES 75005 Paris France;48.845594, 2.342679
PARIS CONNECTIONS;HARLEY COKELISS;2010-02-17;2010-02-17;EXTERIEUR;RUE;EDOUARD COLONNE;75001;RUE EDOUARD COLONNE 75001 Paris France;48.858068, 2.345661
MODERN LOVE;STEPHANE KAZANDJIAN;2007-02-13;2007-02-13;EXTERIEUR;PLACE;DU TROCADERO ET DU 11 NOVEMBRE;75016;PLACE DU TROCADERO ET DU 11 NOVEMBRE 75016 Paris France;48.862318, 2.287561
MODERN LOVE;STEPHANE KAZANDJIAN;2007-03-14;2007-03-14;EXTERIEUR;PLACE;SAINTE OPPORT;75001;PLACE SAINTE OPPORT 75001 Paris France;48.86, 2.341111
MODERN LOVE;STEPHANE KAZANDJIAN;2007-03-29;2007-03-30;EXTERIEUR;PORT;DE LA TOURNELLE;75005;PORT DE LA TOURNELLE 75005 Paris France;48.849811, 2.356086
MODERN LOVE;STEPHANE KAZANDJIAN;2007-03-27;2007-03-27;EXTERIEUR;RUE;CHAMPOLION;75005;RUE CHAMPOLION 75005 Paris France;48.849916, 2.34296
